beatmap_id,diff_sr,diff_size,diff_approach,main_skillset
352863,5.66,4,9,Alt
2105177,5.65,3.8,9.2,Tech
655680,5.5,4,9.2,Strain Stamina
171767,5.56,4,9,Awkward Aim
2154729,4.65,4,8,High Density Reading
1853547,5.69,5.2,10,General Mechanics
105311,5.41,6.5,10,Precision
323264,5.91,4,9.7,Jump Aim
106474,5.78,4,9.7,Speed
1649961,5.57,4.4,10.3,Speed
167718,5.2,4,9,Awkward Aim
67086,4.66,5,8,Pattern Processing
166350,5.71,4,9,Tech
668662,5.95,5,9,
1518059,5.96,4,9,Jump Aim
789752,6.25,4,9.4,Streams
673275,5.73,4,9.3,Alt
2166564,,,,#N/A
2061428,5.29,6.1,8.6,Strain Stamina
1953873,5.67,4,9.3,Awkward Aim
933615,5.28,5,8.5,High Density Reading
1669808,5.36,5.2,10,General Mechanics
2034979,5.7,6.5,10,Precision
268080,6.13,4,9.7,Jump Aim
912123,5.72,4,10.2,Speed
2105630,6.16,5.2,9.9,Speed
1505568,5.02,4.2,9,Awkward Aim
137943,5.28,5,8,Pattern Processing
1680504,5.26,3.8,9.1,Tech
1351114,6.01,3.8,9.5,
835314,6.08,4,9.3,Jump Aim
822166,6.27,5,9.2,Streams
803739,6.11,4,9.3,Alt
2133314,5.4,4,9,Tech
1493143,5.46,3,9,Strain Stamina
257154,6.01,4,9,Awkward Aim
1438557,5.79,4,9.5,High Density Reading
155438,5.05,4,8,Flow Aim
1498091,5.77,5.2,10,General Mechanics
648443,6.06,6.5,10,Precision
2089376,5.83,5.2,10,Alt
124521,6.48,4,9.7,Jump Aim
739826,6.12,4,9.7,Speed
846261,6.16,4,10.3,Speed
106359,5.82,4,9,Low Density Reading
139446,5.9,4,9,Awkward Aim
1573659,5.29,5,8,Pattern Processing
855536,6.16,4,9,Tech
1724396,5.9,2,9.5,
1722791,5.99,4.2,9.3,
1073789,6.28,4,9.5,Jump Aim
793845,6.53,4,9.3,Streams
2153280,5.62,4,9.2,Alt
922916,5.89,4,9.5,Tech
2109396,5.96,3.7,9,Strain Stamina
1514465,5.47,5.5,9,Awkward Aim
1950959,5.81,4,9.3,High Density Reading
58978,4.8,4,8,Flow Aim
1019007,5.92,5.2,10,General Mechanics
1641848,5.98,6.5,10,Precision
931860,6.19,5.2,10,Alt
1188553,6.61,4,10,Jump Aim
165532,6.56,4,9.7,Speed
2071687,6.19,3.6,10.3,Speed
2193545,6.03,5,9.7,Low Density Reading
821165,5.96,4,9.2,Awkward Aim
24517,4.9,5,8,Pattern Processing
1766008,6.19,3.5,9.3,Tech
1985592,5.09,5,9,
737408,6.54,4,9.5,
765740,6.42,4,9.6,Jump Aim
2026835,6.63,4.5,9.6,Streams
2058636,5.85,4,9.6,Alt
1648505,6.16,3.8,9.3,Tech
2096611,5.83,5.3,7.5,Strain Stamina
716020,6.61,4,9.6,Pattern Processing
1950368,5.74,4.2,9.6,Pattern Processing
1679686,5.95,4,9.3,Awkward Aim
1609215,6.03,4,9.6,High Density Reading
60089,5.24,3,8,Flow Aim
2165905,5.92,5.5,10,General Mechanics
183215,6.27,6.5,10,Precision
2077120,6.49,4.9,10,Alt
1716393,6.74,4,9.7,Jump Aim
1761258,6.87,4,10,Speed
2003655,6.61,4,10.3,Speed
1551711,6.34,4,9.7,Low Density Reading
215238,6.14,4,9,Awkward Aim
87171,5.55,5,8,Pattern Processing
2138942,5.42,4,9,Tech
1856758,6.13,4,9,
49101,5.77,5,8,
1911574,6.69,4.8,9.4,Jump Aim
1917058,6.69,4.2,9.4,Streams
1741989,6.42,4,9.5,Alt
2153771,5.91,4,9.4,Tech
1702581,5.64,4.4,8.8,Strain Stamina
1035357,6.75,4,9.7,Pattern Processing
1809913,5.59,5,8,Pattern Processing
2042325,5.75,4.2,9.4,Awkward Aim
2129967,6.22,4.5,9.3,High Density Reading
1866037,5.43,2.5,7,Flow Aim
1411708,6.15,5.9,10,General Mechanics
679817,5.73,7.8,10,Precision
733963,6.75,5.2,10,Alt
1107464,6.93,4,10,Jump Aim
76612,7.1,4,9.7,Speed
307411,6.74,4,10.3,Speed
2149020,6.57,4,9.8,Low Density Reading
1403318,6.19,4,9.5,Awkward Aim
50845,5.45,5,8,Pattern Processing
2003509,6.16,4,9.5,Tech
283705,6.1,4,9,
1368231,6.35,5,8,
519940,5.41,4.1,9,Jump Aim
1461560,5.59,4,9.2,Streams
2191439,5.6,4,9,Alt
821336,5.12,4,9.2,Tech
1838381,5.16,3.8,9.2,Strain Stamina
1892654,4.91,4.2,9,Awkward Aim
75822,4.97,4,8,High Density Reading
1316477,5.31,5.2,10,General Mechanics
2037476,5.15,6,10,Precision
107277,5.48,4,9.7,Jump Aim
2020810,5.05,4,9.7,Speed
1636112,5.24,3.6,9.7,Speed
84801,4.65,4,9,Awkward Aim
46880,4.76,5,8,Pattern Processing
1304553,4.55,3.8,9,Tech
389348,5.5,4,9,
734096,5.75,4,9,Jump Aim
1543094,5.48,4,9.2,Streams
923384,5.51,4,9.3,Alt
1515652,5.56,4,9.2,Tech
1626385,5.83,4,9,Strain Stamina
1860809,5.14,4.3,9,Awkward Aim
1626314,5.61,4.2,9.2,High Density Reading
90651,5.1,4,8,Flow Aim
485284,5.41,5.5,10,General Mechanics
31572,5.55,6.5,10,Precision
1454897,5.46,5.2,10,Alt
1860373,5.57,3.5,9.7,Jump Aim
1615501,5.59,4,9.5,Speed
292605,5.14,4,9,Speed
1804912,5.31,3.6,9.7,Low Density Reading
1363001,5.17,4,9,Awkward Aim
136411,5.14,5,8,Pattern Processing
1587083,5.04,3.8,8.8,Tech
1056685,5.32,4,9,
923985,5.41,5,9,
146929,5.83,4,9,Jump Aim
1745226,5.83,3.8,9.2,Streams
1781960,5.51,4.1,9.3,Alt
1609253,5.69,4,9.2,Tech
1393711,5.61,4,9.3,Strain Stamina
1611299,5.81,4,9,Awkward Aim
696173,5.58,4,9.2,High Density Reading
1316417,5.24,5,8.7,Flow Aim
1382042,5.19,5.2,10,General Mechanics
131009,6.03,6.5,10,Precision
1291376,5.58,5.5,10,Alt
345642,5.59,4,9.7,Jump Aim
458816,,,,#N/A
1624401,5.86,4,10,Speed
1844821,5.59,3.5,9.7,Low Density Reading
1649678,5.45,4,9,Awkward Aim
48096,5.47,5,8,Pattern Processing
521280,4.97,4.3,8.5,Tech
1808793,5.3,3.3,9.1,
830322,6.04,4,9,
1915983,5.73,4,9,Jump Aim
1372142,6.64,4.2,9.4,Streams
542336,5.55,4,9,Alt
1627723,5.5,4,9.2,Tech
1920769,,,,#N/A
687530,5.85,4,9.4,Pattern Processing
344620,5.02,3,9,Pattern Processing
2055981,5.78,5,9,Awkward Aim
1775314,5.71,4,9.2,High Density Reading
81342,4.76,4,8,Flow Aim
60743,6.11,5.2,10,General Mechanics
147370,5.69,6.5,10,Precision
110347,5.8,5.2,10,Alt
158107,6.2,4,9.7,Jump Aim
1761649,5.96,4,9.8,Speed
474190,6.02,4,10.3,Speed
2192382,5.74,4,9.3,Low Density Reading
1935975,5.35,4.5,9,Awkward Aim
58701,4.98,5,8,Pattern Processing
1996783,5.22,4.5,9.3,Tech
404440,5.64,4,9.2,
884031,5.73,5.2,8.6,
223397,6.23,4,9,Jump Aim
548376,5.87,4,9,Streams
1050214,6.27,4.3,9.4,Alt
2144226,5.63,4.8,9.3,Tech
1524996,5.29,4,8,Strain Stamina
154226,6.23,4,9,Pattern Processing
1713929,5.85,7,9,Pattern Processing
527704,5.88,5,9,Awkward Aim
1958595,5.6,4,9.4,High Density Reading
62589,5.4,4,8,Flow Aim
297812,5.89,5.2,10,General Mechanics
178249,5.63,6.5,10,Precision
446378,6.19,5.2,10,Alt
948654,6.27,4,10,Jump Aim
1042025,6.41,4.7,9.9,Speed
991267,6.02,4.2,10.3,Speed
667843,6.14,4,9.7,Low Density Reading
1917397,5.54,4.3,9.3,Awkward Aim
1674105,5.23,5,8,Pattern Processing
142772,5.85,4,9,Tech
553131,5.8,4,9,
966177,6.3,4,9.6,
656385,6.07,4,9.3,Jump Aim
888383,5.88,4,9.6,Streams
2052211,5.31,4.2,9.2,Alt
49067,4.97,4,8,Awkward Aim
1569584,5.81,4,9.3,High Density Reading
1401977,5.57,5.5,10,General Mechanics
1184962,5.57,6.5,10,Precision
2153072,6.05,4,9.7,Jump Aim
1226282,5.59,4,9.3,Jump Aim
642163,5.69,4,9.1,Streams
1530346,4.94,4.5,9,Alt
2220287,5.03,4,9.3,Tech
390219,4.44,4,8,Strain Stamina
1366147,5.38,4,9,Awkward Aim
2124787,5.19,4.3,9,High Density Reading
626343,5.27,5.2,10,General Mechanics
2197286,5.33,5.2,10,Precision
1689539,5.48,3.8,9.7,Jump Aim
397888,5.76,4,9.7,Speed
2058539,5.3,3.6,9,Awkward Aim
709648,4.57,4,8.4,Pattern Processing
1231520,5.86,4,9.3,Jump Aim
1223596,6.01,4.3,9.5,Streams
2008690,5.59,4,9.2,Alt
904866,5.5,4,9.3,Tech
313429,5.78,4,9.4,Strain Stamina
673084,5.71,4,9.4,Awkward Aim
2234037,4.39,3.8,8,High Density Reading
1256777,5.57,5.5,10,General Mechanics
489444,5.15,5.9,10,Precision
99989,5.87,4,9.7,Jump Aim
1954975,5.24,4,10.3,Speed
1324163,5.72,3.2,9.2,Awkward Aim
1865143,4.84,5,8,Pattern Processing
1764267,5.99,4,9.3,Jump Aim
2220267,5.54,4.2,9.2,Streams
1150882,6.14,4,9.4,Alt
1932689,5.62,3.5,9.3,Tech
1498537,5.9,4,9.2,Strain Stamina
1826135,5.72,4.2,9.2,Awkward Aim
2115302,4.69,3,8.5,High Density Reading
972834,5.9,4,9,Flow Aim
1506402,6,5.2,10,General Mechanics
2237462,5.57,5.2,10,Precision
126062,5.66,6.5,10,Alt
204822,5.83,4,9.7,Jump Aim
543814,6.09,4,9.9,Speed
2208731,,,,#N/A
2228184,5.88,4,9,Awkward Aim
1619425,5.36,3.8,9,Pattern Processing
26726,5.39,5,8,Tech
1725575,6.27,4,9.3,Jump Aim
2220743,6.03,4.2,9.4,Streams
717133,6.32,4.3,9.6,Alt
1859132,6.06,4.5,9,Tech
877728,5.73,4.5,9.2,Strain Stamina
694305,6.03,4,9.3,Awkward Aim
2195984,5.51,3.8,9.4,High Density Reading
2096780,5.1,4,8,Flow Aim
1319869,5.92,4.8,10,General Mechanics
1395603,6.12,5.2,10,Precision
1678113,5.53,6.5,10,Alt
276915,6.13,4,10.3,Jump Aim
1925706,6.66,4,9.7,Speed
2040225,5.51,4.2,10.1,Speed
1848985,5.74,3.3,9.3,Awkward Aim
1717796,5.85,3.5,9.4,Pattern Processing
1884616,3.79,6,6,Tech
733432,6.59,4,9.4,Jump Aim
1946996,5.92,4,9.4,Alt
959427,6.55,4,9.6,Tech
911537,6.04,4,9.5,Strain Stamina
1971136,6.06,4,9.2,Awkward Aim
1701907,5.57,4,9.2,High Density Reading
1722561,3.56,4,5,Flow Aim
2169604,6.72,5.5,10,General Mechanics
2246099,6.35,5.2,10,Precision
2009707,6.11,6.2,10,Alt
637739,6.61,4,10.2,Jump Aim
1503150,6.25,3.8,10.3,Speed
2095186,6.38,5,9.7,Speed
1123616,5.43,3.5,9.3,Awkward Aim
195305,6.06,4,9,Pattern Processing
2115970,5.15,5,8,Tech
1162811,6.81,4,9.4,Jump Aim
1821815,6.36,4,9.5,Streams
1127971,6.31,4,9.6,Alt
862246,6.62,4,9.5,Tech
2063886,6.3,5,9,Strain Stamina
1882605,6.25,4.5,9.3,Awkward Aim
2232119,6.15,4.3,9.5,High Density Reading
2218160,4.93,5,8,Flow Aim
1520788,6.63,5.2,10,General Mechanics
2243948,6.33,5.5,10,Precision
2113705,5.28,7.5,10,Alt
1802518,6.69,5,9.7,Jump Aim
1992840,6.25,3.8,10.3,Speed
1981580,6.38,3.8,10.1,Low Density Reading
1555562,5.81,4,9,Awkward Aim
1685427,5.99,4,9,Pattern Processing
2097442,6.42,2.8,9.2,Tech
138138,5.45,5,8,
1111493,7.05,4,9.6,Jump Aim
1908618,5.99,5.5,9.2,Streams
2042304,6.81,4.5,9.6,Alt
1245003,6.95,4,9.6,Tech
2081848,3.79,7,0,Strain Stamina
2074994,6.41,4,9.2,Awkward Aim
1210394,5.7,5,9,High Density Reading
1839779,5.92,3.5,8,Flow Aim
1634887,6.65,5.2,10,General Mechanics
2196700,6.26,5.2,10,Precision
2223546,6.18,7.8,9.8,Alt
2269836,7.15,4,10.3,Jump Aim
2251648,6.59,4.5,10,Speed
2021129,6.69,4,10,Speed
1572152,6.3,4,10.5,Low Density Reading
2065883,6.46,2,9.8,Awkward Aim
2160869,5.75,5,8.3,Pattern Processing
2067859,6.12,4,9,Tech
588959,6.74,4,9,
2294643,7.53,4,9.6,Jump Aim
1469136,7.34,4,9.6,Streams
1234064,6.68,2,9,Alt
1986856,,,,#N/A
1615857,6.66,5,9.2,Awkward Aim
1565367,6.78,4.5,9.6,High Density Reading
2276018,6.61,4,8.5,Flow Aim
1546425,7.53,5.5,10,General Mechanics
673008,7.8,5.2,10,Precision
967923,6.39,7.2,10,Alt
1444708,7.49,4,10.3,Jump Aim
1957037,7.19,4.3,9.7,Speed
695401,7.4,4,10.3,Speed
1075827,6.99,4.5,10.5,Low Density Reading
2189162,7.34,2.5,9.5,Awkward Aim
2204124,,,,#N/A
129891,7.52,4,9,
759192,6.18,4.2,9.4,Awkward Aim
964286,6.06,4,9,Pattern Processing
917176,6.01,4,9.3,Tech
120030,5.56,4,9,
830322,6.04,4,9,
1630998,5.89,3.8,8.9,
1659549,5.65,4,9.3,Awkward Aim
2156842,5.44,3.8,9,Pattern Processing
1429631,5.42,4,9.2,Tech
1769309,5.06,4,9,
2015472,5.59,4,9.2,
478605,5.48,4,9.2,
38500,5.43,5,8,
1809736,5.51,3.8,9,
720590,5.92,4.2,9.2,Awkward Aim
1093605,5.82,4,9,Pattern Processing
1633532,5.7,3.8,9.6,Tech
2048729,5.55,4.3,9.2,
2198089,5.98,4,9.4,
2125262,5.64,4,8.7,
643157,5.73,5,9,
2202493,6,4,9.2,
1773373,5.94,3.8,9.4,Awkward Aim
1589320,6.01,4.5,9.3,Pattern Processing
896430,5.84,4,9.5,Tech
1919402,5.5,4,9,
2190486,5.98,4.1,9.4,
1682373,5.77,4,8.8,
916917,5.99,5,9.3,
2185944,5.79,4.5,9.3,
794750,6.13,4.2,9.3,Awkward Aim
809469,6.36,4.2,9.3,Pattern Processing
904030,6.05,3,9.4,Tech
1878931,5.67,5,9,
541044,5.81,4,9.4,
1386449,6.19,4.2,9.6,
2258980,5.67,7,9,
2150450,5.85,4,9.6,
58915,5.32,3,8,
869704,6.17,4,9.4,
